onset	duration	condition	item	key	RT
[7]	7	belief_rep	0	1	2.398
[20]	7	belief_rep	0	1	1.431
[33]	7	belief_real	0	1	1.576
[46]	7	photo_rep	0	1	1.495
[59]	7	photo_rep	0	1	2.375
[72]	7	belief_real	0	1	1.68
[85]	7	belief_real	0	1	2.087
[98]	7	belief_rep	0	2	2.576
