onset	duration	condition	item	key	RT
[7]	7	belief	0	2	2.766
[20]	7	belief	0	2	3.851
[33]	7	photo	0	2	1.664
[46]	7	belief	0	0	0.0
[59]	7	photo	0	1	2.172
[72]	7	belief	0	2	2.916
[85]	7	photo	0	2	2.29
[98]	7	belief	0	1	3.871
[111]	7	belief	0	1	1.667
[124]	7	photo	0	2	2.565
