onset	duration	condition	item	key	RT
[7]	7	belief	0	2	3.481
[20]	7	belief	0	0	0.0
[33]	7	photo	0	2	1.569
[46]	7	belief	0	2	2.761
[59]	7	belief	0	2	2.69
[72]	7	photo	0	1	3.424
[85]	7	photo	0	2	3.257
[98]	7	belief	0	1	2.753
[111]	7	photo	0	2	2.799
[124]	7	belief	0	0	0.0
