onset	duration	condition	item	key	RT
[7]	7	belief	0	2	2.142
[20]	7	belief	0	2	2.196
[33]	7	photo	0	2	1.284
[46]	7	belief	0	2	3.165
[59]	7	photo	0	1	2.012
[72]	7	belief	0	2	2.584
[85]	7	photo	0	2	2.746
[98]	7	belief	0	1	2.016
[111]	7	belief	0	1	1.833
[124]	7	photo	0	2	2.197
