onset	duration	condition	item	key	RT
[7]	7	belief	0	2	2.45
[20]	7	belief	0	1	3.747
[33]	7	photo	0	2	3.505
[46]	7	belief	0	1	2.934
[59]	7	photo	0	1	1.892
[72]	7	belief	0	1	2.765
[85]	7	photo	0	2	3.211
[98]	7	belief	0	2	2.078
[111]	7	belief	0	2	3.348
[124]	7	photo	0	2	1.922
