onset	duration	condition	item	key	RT
[7]	7	belief	0	3	2.851
[20]	7	belief	0	3	2.421
[33]	7	photo	0	2	3.916
[46]	7	belief	0	2	3.61
[59]	7	belief	0	3	2.634
[72]	7	photo	0	2	3.889
[85]	7	photo	0	2	3.296
[98]	7	belief	0	0	0.0
[111]	7	photo	0	3	3.36
[124]	7	belief	0	0	0.0
