onset	duration	condition	item	key	RT
[7]	7	photo_rep	0	0	0.0
[20]	7	belief_real	0	2	3.834
[33]	7	belief_rep	0	1	2.593
[46]	7	belief_rep	0	2	2.03
[59]	7	belief_rep	0	1	3.12
[72]	7	belief_real	0	1	2.504
[85]	7	belief_real	0	1	3.101
[98]	7	photo_rep	0	1	2.617
