onset	duration	condition	item	key	RT
[7]	7	belief	0	2	3.828
[20]	7	belief	0	2	2.407
[33]	7	photo	0	0	0.0
[46]	7	belief	0	2	3.511
[59]	7	photo	0	1	2.18
[72]	7	belief	0	2	2.781
[85]	7	photo	0	2	3.356
[98]	7	belief	0	1	3.164
[111]	7	belief	0	1	2.055
[124]	7	photo	0	2	3.069
