onset	duration	condition	item	key	RT
[7]	7	belief	0	0	0.0
[20]	7	belief	0	2	3.323
[33]	7	photo	0	2	2.193
[46]	7	belief	0	0	0.0
[59]	7	photo	0	1	2.767
[72]	7	belief	0	2	2.976
[85]	7	photo	0	2	3.704
[98]	7	belief	0	0	0.0
[111]	7	belief	0	0	0.0
[124]	7	photo	0	2	2.991
